Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501030064;28 DE ENERO;LIMA;LIMA;ATE;;;Con balón de Gas;63;Transitado
X1501030065;FUERZA DE MUJER;LIMA;LIMA;ATE;;;Con balón de Gas;42;Transitado
X1501030066;DIVINA PROVIDENCIA;LIMA;LIMA;ATE;;;Con balón de Gas;34;Inactivo
X1501030067;MUJERES EMPRENDEDORAS;LIMA;LIMA;ATE;;;Con balón de Gas;48;Transitado
X1501030068;CORAZON DE JESUS;LIMA;LIMA;ATE;;;Con balón de Gas;48;Transitado
X1501030069;SANTA ELENA;LIMA;LIMA;ATE;;;Con balón de Gas;55;Transitado
X1501030070;MUJERES EMPRENDEDORAS;LIMA;LIMA;ATE;;;Con balón de Gas;44;Transitado
X1501030071;JESUS ES MI PASTOR;LIMA;LIMA;ATE;;;Con balón de Gas;63;Transitado
X1501030072;HIJOS DE LA ZONA N HUAYCAN;LIMA;LIMA;ATE;;;Con balón de Gas;59;Transitado
X1501030074;MUJERES VIRTUOSAS;LIMA;LIMA;ATE;;;Con balón de Gas;45;Transitado
X1501030076;ANGELES DE DIOS;LIMA;LIMA;ATE;;;Con balón de Gas;48;Transitado
X1501030077;CRUZ DE MAYO;LIMA;LIMA;ATE;;;Ninguna;0;Cancelado
X1501030078;EL MIRADOR;LIMA;LIMA;ATE;;;Con balón de Gas;45;Transitado
X1501030079;JESUS ES EL CAMINO;LIMA;LIMA;ATE;;;Con balón de Gas;49;Transitado
X1501030080;LOS SIERVOS DE DIOS;LIMA;LIMA;ATE;;;Con balón de Gas;57;Transitado
X1501030081;MONTE SINAI;LIMA;LIMA;ATE;;;Con balón de Gas;37;Transitado
X1501030082;MUJERES SOLIDARIAS;LIMA;LIMA;ATE;;;Con balón de Gas;68;Cancelado
X1501030083;NIÑO JESUS;LIMA;LIMA;ATE;;;Con balón de Gas;49;Transitado
X1501030084;RENACER;LIMA;LIMA;ATE;;;Con balón de Gas;51;Transitado
X1501030085;CORAZON DE GUADALUPE;LIMA;LIMA;ATE;;;Con balón de Gas;46;Transitado
X1501030086;Allin Mikuy;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;54;Transitado
X1501030087;Madres Unidas del grupo 4;LIMA;LIMA;ATE;;VITARTE;Con balón de Gas;69;Transitado
